"year","species","catch","type"
2015,"DOL",1218.07217,"ICCAT"
2015,"FRI",308.11126,"ICCAT"
2015,"KGM",0,"ICCAT"
2015,"LTA",0,"ICCAT"
2015,"WAH",312.26498,"ICCAT"
2016,"BLF",227.61597,"ICCAT"
2016,"BLT",130.68833,"ICCAT"
2016,"BON",1.52,"ICCAT"
2016,"BRS",0.76,"ICCAT"
2016,"DOL",1461.43369,"ICCAT"
2016,"FRI",270.9323,"ICCAT"
2016,"KGM",0,"ICCAT"
2016,"LTA",0.271,"ICCAT"
2016,"WAH",403.76079,"ICCAT"
2017,"BLF",191.970044,"ICCAT"
2017,"BLT",34.402,"ICCAT"
2017,"BON",1.0394,"ICCAT"
2017,"BRS",0.6166,"ICCAT"
2017,"DOL",1995.828509,"ICCAT"
2017,"FRI",444.941708,"ICCAT"
2017,"KGM",0,"ICCAT"
2017,"LTA",0.226,"ICCAT"
2017,"WAH",321.797497,"ICCAT"
2018,"BLF",391.932,"ICCAT"
2018,"BLT",71.515,"ICCAT"
2018,"BON",22.631,"ICCAT"
2018,"BRS",0.9,"ICCAT"
2018,"DOL",1227.863,"ICCAT"
2018,"FRI",282.378,"ICCAT"
2018,"KGM",0.048,"ICCAT"
2018,"LTA",33.624,"ICCAT"
2018,"WAH",149.588,"ICCAT"
2019,"BLF",410.49,"ICCAT"
2019,"BLT",0,"ICCAT"
2019,"BON",15.47,"ICCAT"
2019,"BRS",135.46,"ICCAT"
2019,"DOL",875.24,"ICCAT"
2019,"FRI",108.98,"ICCAT"
2019,"KGM",189.51,"ICCAT"
2019,"LTA",0.39,"ICCAT"
2019,"WAH",23.49,"ICCAT"
2020,"BLF",819.523,"ICCAT"
2020,"BLT",0,"ICCAT"
2020,"BON",0.015,"ICCAT"
2020,"BRS",0,"ICCAT"
2020,"DOL",763.682,"ICCAT"
2020,"FRI",272.029,"ICCAT"
2020,"KGM",304.927,"ICCAT"
2020,"LTA",112.641,"ICCAT"
2020,"WAH",56.843,"ICCAT"
1950,"WAH",60.908,"FREIRE"
1950,"FRI",1.671,"FREIRE"
1950,"DOL",331.528,"FREIRE"
1950,"LTA",16.457,"FREIRE"
1950,"BON",648.037,"FREIRE"
1950,"BRS",1340.318,"FREIRE"
1950,"KGM",258.23,"FREIRE"
1950,"CER",1.17,"FREIRE"
1950,"BLF",27.639,"FREIRE"
1951,"WAH",64.595,"FREIRE"
1951,"FRI",1.853,"FREIRE"
1951,"DOL",304.191,"FREIRE"
1951,"LTA",19.27,"FREIRE"
1951,"BON",627.875,"FREIRE"
1951,"BRS",1232.21,"FREIRE"
1951,"KGM",264.766,"FREIRE"
1951,"CER",0.982,"FREIRE"
1951,"BLF",26.407,"FREIRE"
1952,"WAH",66.219,"FREIRE"
1952,"FRI",1.615,"FREIRE"
1952,"DOL",336.14,"FREIRE"
1952,"LTA",22.633,"FREIRE"
1952,"BON",611.539,"FREIRE"
1952,"BRS",1248.105,"FREIRE"
1952,"KGM",298.585,"FREIRE"
1952,"CER",1.185,"FREIRE"
1952,"BLF",24.001,"FREIRE"
1953,"WAH",71.973,"FREIRE"
1953,"FRI",2.265,"FREIRE"
1953,"DOL",345.045,"FREIRE"
1953,"LTA",19.64,"FREIRE"
1953,"BON",568.651,"FREIRE"
1953,"BRS",1286.378,"FREIRE"
1953,"KGM",266.012,"FREIRE"
1953,"CER",1.001,"FREIRE"
1953,"BLF",26.52,"FREIRE"
1954,"WAH",67.689,"FREIRE"
1954,"FRI",2.104,"FREIRE"
1954,"DOL",345.529,"FREIRE"
1954,"LTA",28.335,"FREIRE"
1954,"BON",524.956,"FREIRE"
1954,"BRS",1138.558,"FREIRE"
1954,"KGM",312.467,"FREIRE"
1954,"CER",1.178,"FREIRE"
1954,"BLF",23.272,"FREIRE"
1955,"WAH",66.769,"FREIRE"
1955,"FRI",2.36,"FREIRE"
1955,"DOL",358.365,"FREIRE"
1955,"LTA",34.313,"FREIRE"
1955,"BON",646.934,"FREIRE"
1955,"BRS",1254.79,"FREIRE"
1955,"KGM",439.539,"FREIRE"
1955,"CER",1.448,"FREIRE"
1955,"BLF",22.911,"FREIRE"
1956,"WAH",92.343,"FREIRE"
1956,"FRI",2.658,"FREIRE"
1956,"DOL",389.574,"FREIRE"
1956,"LTA",35.99,"FREIRE"
1956,"BON",577.197,"FREIRE"
1956,"BRS",1382.531,"FREIRE"
1956,"KGM",468.872,"FREIRE"
1956,"CER",1.897,"FREIRE"
1956,"BLF",34.044,"FREIRE"
1957,"WAH",101.733,"FREIRE"
1957,"FRI",2.727,"FREIRE"
1957,"DOL",425.282,"FREIRE"
1957,"LTA",39.872,"FREIRE"
1957,"BON",430.254,"FREIRE"
1957,"BRS",1616.455,"FREIRE"
1957,"KGM",484.983,"FREIRE"
1957,"CER",2.111,"FREIRE"
1957,"BLF",40.835,"FREIRE"
1958,"WAH",130.04,"FREIRE"
1958,"FRI",2.019,"FREIRE"
1958,"DOL",469.01,"FREIRE"
1958,"LTA",35.722,"FREIRE"
1958,"BON",425.559,"FREIRE"
1958,"BRS",1502.59,"FREIRE"
1958,"KGM",507.479,"FREIRE"
1958,"CER",2.291,"FREIRE"
1958,"BLF",64.248,"FREIRE"
1959,"WAH",135.075,"FREIRE"
1959,"FRI",2.123,"FREIRE"
1959,"DOL",549.766,"FREIRE"
1959,"LTA",45.618,"FREIRE"
1959,"BON",542.231,"FREIRE"
1959,"BRS",1733.763,"FREIRE"
1959,"KGM",630.539,"FREIRE"
1959,"CER",4.783,"FREIRE"
1959,"BLF",59.223,"FREIRE"
1960,"WAH",181.657,"FREIRE"
1960,"FRI",2.813,"FREIRE"
1960,"DOL",646.56,"FREIRE"
1960,"LTA",45.6,"FREIRE"
1960,"BON",562.689,"FREIRE"
1960,"BRS",1744.963,"FREIRE"
1960,"KGM",645.951,"FREIRE"
1960,"CER",4.627,"FREIRE"
1960,"BLF",91.275,"FREIRE"
1961,"WAH",133.933,"FREIRE"
1961,"FRI",7.672,"FREIRE"
